Longitude,Latitude
-5.309944,5.203527
-5.309944,5.203527
-5.679707,5.849414
-5.679707,5.849414
-5.679707,5.849414
-5.7781,6.03139
-5.679707,5.849414
-5.679707,5.849414
-5.7781,6.03139
-5.35723,5.83739
30.99,-29.85
30.99,-29.85
30.99,-29.85
31.284748,-29.329941
31.40997,-29.15282
31.40997,-29.15282
30.79652,-30.20666
8.153955,5.823445
